epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1898.34,0.90635,0.83327,0.99677,0.75728,0.59298,0.67224,0.4961,1.08143,0.94343,1.11249,3.66758e-05,3.66758e-05,3.66758e-05
41,1985.03,0.87879,0.7979,0.98845,0.74338,0.58253,0.65905,0.48759,1.10999,1.00916,1.13462,3.3488e-05,3.3488e-05,3.3488e-05
42,2028.59,0.86752,0.7673,0.97888,0.77039,0.57735,0.65724,0.48517,1.10341,0.98075,1.12874,3.03002e-05,3.03002e-05,3.03002e-05
43,2072.4,0.86048,0.75638,0.97895,0.68866,0.6355,0.67721,0.4986,1.09957,0.97541,1.12456,2.71124e-05,2.71124e-05,2.71124e-05
44,2116.41,0.85643,0.75043,0.97727,0.74487,0.58989,0.65816,0.48269,1.08921,0.99066,1.12337,2.39246e-05,2.39246e-05,2.39246e-05
45,2160.43,0.85456,0.74352,0.97401,0.72364,0.5972,0.6465,0.48001,1.09684,0.98358,1.12754,2.07368e-05,2.07368e-05,2.07368e-05
46,2204.42,0.85077,0.73556,0.97508,0.76493,0.58794,0.65612,0.49182,1.09211,0.96547,1.12476,1.7549e-05,1.7549e-05,1.7549e-05
47,2248.21,0.83954,0.7265,0.96735,0.68076,0.64647,0.65633,0.49833,1.08408,0.96425,1.11787,1.43612e-05,1.43612e-05,1.43612e-05
48,2292.24,0.83775,0.72262,0.96537,0.79049,0.56973,0.67364,0.51111,1.09046,0.94757,1.12168,1.11734e-05,1.11734e-05,1.11734e-05
49,2336.07,0.83749,0.72539,0.96768,0.68244,0.65335,0.67347,0.5083,1.08679,0.96116,1.11961,7.9856e-06,7.9856e-06,7.9856e-06
50,2379.96,0.83312,0.72005,0.96656,0.70089,0.63774,0.67072,0.50564,1.08648,0.96024,1.11914,4.7978e-06,4.7978e-06,4.7978e-06
